0,00 GAZP|248|129|Max Williams A/D | 4|1|1||3 дня падения, 1 дня в
 0,00 GAZP|103|68|Max Williams A/D |15|1|1||4 дня падения, 1 дня в
 0,00 GAZP|103|129|Max Williams A/D |15|1|2||3 дня падения, 1 дня в
 0,00 GAZP|103|68|Max Williams A/D |15|1|2||4 дня падения, 1 дня в
 0,00 GAZP|103|68|Max Williams A/D |15|1|3||4 дня падения, 1 дня в
 0,00 GAZP|97|129|Max Williams A/D |16|1|1||3 дня падения, 1 дня в
 0,00 GAZP|97|68|Max Williams A/D |16|1|1||4 дня падения, 1 дня в
 0,00 GAZP|97|129|Max Williams A/D |16|1|2||3 дня падения, 1 дня в
 0,00 GAZP|97|68|Max Williams A/D |16|1|2||4 дня падения, 1 дня в
 0,00 GAZP|97|68|Max Williams A/D |16|1|3||4 дня падения, 1 дня в
 0,00 GAZP|92|129|Max Williams A/D |17|1|1||3 дня падения, 1 дня в
 0,00 GAZP|92|68|Max Williams A/D |17|1|1||4 дня падения, 1 дня в
 0,00 GAZP|92|129|Max Williams A/D |17|1|2||3 дня падения, 1 дня в
 0,00 GAZP|92|68|Max Williams A/D |17|1|2||4 дня падения, 1 дня в
 0,00 GAZP|92|68|Max Williams A/D |17|1|3||4 дня падения, 1 дня в
 0,00 GAZP|89|129|Max Williams A/D |18|1|1||3 дня падения, 1 дня в
 0,00 GAZP|89|68|Max Williams A/D |18|1|1||4 дня падения, 1 дня в
 0,00 GAZP|89|129|Max Williams A/D |18|1|2||3 дня падения, 1 дня в
 0,00 GAZP|89|68|Max Williams A/D |18|1|2||4 дня падения, 1 дня в
 0,00 GAZP|89|68|Max Williams A/D |18|1|3||4 дня падения, 1 дня в
 0,00 GAZP|87|129|Max Williams A/D |19|1|1||3 дня падения, 1 дня в
 0,00 GAZP|87|68|Max Williams A/D |19|1|1||4 дня падения, 1 дня в
 0,00 GAZP|87|129|Max Williams A/D |19|1|2||3 дня падения, 1 дня в
 0,00 GAZP|87|68|Max Williams A/D |19|1|2||4 дня падения, 1 дня в
 0,00 GAZP|87|68|Max Williams A/D |19|1|3||4 дня падения, 1 дня в
 0,00 GAZP|82|129|Max Williams A/D |20|1|1||3 дня падения, 1 дня в
 0,00 GAZP|82|68|Max Williams A/D |20|1|1||4 дня падения, 1 дня в
 0,00 GAZP|82|129|Max Williams A/D |20|1|2||3 дня падения, 1 дня в
 0,00 GAZP|82|68|Max Williams A/D |20|1|2||4 дня падения, 1 дня в
 0,00 GAZP|82|68|Max Williams A/D |20|1|3||4 дня падения, 1 дня в
 0,00 GAZP|80|129|Max Williams A/D |21|1|1||3 дня падения, 1 дня в
 0,00 GAZP|80|68|Max Williams A/D |21|1|1||4 дня падения, 1 дня в
 0,00 GAZP|80|129|Max Williams A/D |21|1|2||3 дня падения, 1 дня в
 0,00 GAZP|80|68|Max Williams A/D |21|1|2||4 дня падения, 1 дня в
 0,00 GAZP|80|68|Max Williams A/D |21|1|3||4 дня падения, 1 дня в
 0,00 GAZP|75|129|Max Williams A/D |22|1|1||3 дня падения, 1 дня в
 0,00 GAZP|75|68|Max Williams A/D |22|1|1||4 дня падения, 1 дня в
 0,00 GAZP|75|129|Max Williams A/D |22|1|2||3 дня падения, 1 дня в
 0,00 GAZP|75|68|Max Williams A/D |22|1|2||4 дня падения, 1 дня в
 0,00 GAZP|75|68|Max Williams A/D |22|1|3||4 дня падения, 1 дня в
 0,00 GAZP|71|129|Max Williams A/D |23|1|1||3 дня падения, 1 дня в
 0,00 GAZP|71|68|Max Williams A/D |23|1|1||4 дня падения, 1 дня в
 0,00 GAZP|71|36|Max Williams A/D |23|1|1||5 дня падения, 1 дня в
 0,00 GAZP|71|129|Max Williams A/D |23|1|2||3 дня падения, 1 дня в
 0,00 GAZP|71|68|Max Williams A/D |23|1|2||4 дня падения, 1 дня в
 0,00 GAZP|71|36|Max Williams A/D |23|1|2||5 дня падения, 1 дня в
 0,00 GAZP|71|68|Max Williams A/D |23|1|3||4 дня падения, 1 дня в
 0,00 GAZP|71|36|Max Williams A/D |23|1|3||5 дня падения, 1 дня в
 0,00 GAZP|68|129|Max Williams A/D |24|1|1||3 дня падения, 1 дня в
 0,00 GAZP|68|68|Max Williams A/D |24|1|1||4 дня падения, 1 дня в
 0,00 GAZP|68|36|Max Williams A/D |24|1|1||5 дня падения, 1 дня в
 0,00 GAZP|68|129|Max Williams A/D |24|1|2||3 дня падения, 1 дня в
 0,00 GAZP|68|68|Max Williams A/D |24|1|2||4 дня падения, 1 дня в
 0,00 GAZP|68|36|Max Williams A/D |24|1|2||5 дня падения, 1 дня в
 0,00 GAZP|68|68|Max Williams A/D |24|1|3||4 дня падения, 1 дня в
 0,00 GAZP|68|36|Max Williams A/D |24|1|3||5 дня падения, 1 дня в
 0,00 GAZP|66|129|Max Williams A/D |25|1|1||3 дня падения, 1 дня в
 0,00 GAZP|66|68|Max Williams A/D |25|1|1||4 дня падения, 1 дня в
 0,00 GAZP|66|36|Max Williams A/D |25|1|1||5 дня падения, 1 дня в
 0,00 GAZP|66|129|Max Williams A/D |25|1|2||3 дня падения, 1 дня в
 0,00 GAZP|66|68|Max Williams A/D |25|1|2||4 дня падения, 1 дня в
 0,00 GAZP|66|36|Max Williams A/D |25|1|2||5 дня падения, 1 дня в
 0,00 GAZP|66|68|Max Williams A/D |25|1|3||4 дня падения, 1 дня в
 0,00 GAZP|66|36|Max Williams A/D |25|1|3||5 дня падения, 1 дня в
 0,00 GAZP|151|78|Min Williams A/D |13|1|1||3 дня роста, 1 дня в
 0,00 GAZP|146|78|Min Williams A/D |14|1|1||3 дня роста, 1 дня в
 0,00 GAZP|141|78|Min Williams A/D |15|1|1||3 дня роста, 1 дня в
 0,00 GAZP|135|78|Min Williams A/D |16|1|1||3 дня роста, 1 дня в
 0,00 GAZP|130|78|Min Williams A/D |17|1|1||3 дня роста, 1 дня в
 0,00 GAZP|127|78|Min Williams A/D |18|1|1||3 дня роста, 1 дня в
 0,00 GAZP|124|78|Min Williams A/D |19|1|1||3 дня роста, 1 дня в
 0,00 GAZP|123|78|Min Williams A/D |19|1|2||3 дня роста, 1 дня в
 0,00 GAZP|121|78|Min Williams A/D |20|1|1||3 дня роста, 1 дня в
 0,00 GAZP|120|78|Min Williams A/D |20|1|2||3 дня роста, 1 дня в
 0,00 GAZP|121|78|Min Williams A/D |21|1|1||3 дня роста, 1 дня в
 0,00 GAZP|120|78|Min Williams A/D |21|1|2||3 дня роста, 1 дня в
 0,00 GAZP|117|78|Min Williams A/D |22|1|1||3 дня роста, 1 дня в
 0,00 GAZP|116|78|Min Williams A/D |22|1|2||3 дня роста, 1 дня в
 0,00 GAZP|114|78|Min Williams A/D |23|1|1||3 дня роста, 1 дня в
 0,00 GAZP|113|78|Min Williams A/D |23|1|2||3 дня роста, 1 дня в
 0,00 GAZP|108|78|Min Williams A/D |24|1|1||3 дня роста, 1 дня в
 0,00 GAZP|107|78|Min Williams A/D |24|1|2||3 дня роста, 1 дня в
 0,00 GAZP|104|78|Min Williams A/D |25|1|1||3 дня роста, 1 дня в
 0,00 GAZP|103|78|Min Williams A/D |25|1|2||3 дня роста, 1 дня в
 0,00 GMKN|204|107|Max Williams A/D | 6|1|1||3 дня падения, 1 дня в
 0,00 GMKN|178|107|Max Williams A/D | 7|1|1||3 дня падения, 1 дня в
 0,00 GMKN|156|107|Max Williams A/D | 8|1|1||3 дня падения, 1 дня в
 0,00 GMKN|148|107|Max Williams A/D | 9|1|1||3 дня падения, 1 дня в
 0,00 GMKN|136|107|Max Williams A/D |10|1|1||3 дня падения, 1 дня в
 0,00 GMKN|132|107|Max Williams A/D |11|1|1||3 дня падения, 1 дня в
 0,00 GMKN|129|107|Max Williams A/D |12|1|1||3 дня падения, 1 дня в
 0,00 GMKN|122|107|Max Williams A/D |13|1|1||3 дня падения, 1 дня в
 0,00 GMKN|118|107|Max Williams A/D |14|1|1||3 дня падения, 1 дня в
 0,00 GMKN|115|107|Max Williams A/D |15|1|1||3 дня падения, 1 дня в
 0,00 GMKN|113|107|Max Williams A/D |16|1|1||3 дня падения, 1 дня в
 0,00 GMKN|108|107|Max Williams A/D |17|1|1||3 дня падения, 1 дня в
 0,00 GMKN|106|107|Max Williams A/D |18|1|1||3 дня падения, 1 дня в
 0,00 GMKN|103|107|Max Williams A/D |19|1|1||3 дня падения, 1 дня в
 0,00 GMKN|102|107|Max Williams A/D |20|1|1||3 дня падения, 1 дня в
 0,00 GMKN|99|107|Max Williams A/D |21|1|1||3 дня падения, 1 дня в
 0,00 GMKN|96|107|Max Williams A/D |22|1|1||3 дня падения, 1 дня в
 0,00 GMKN|96|49|Max Williams A/D |22|1|1||4 дня падения, 1 дня в
 0,00 GMKN|96|49|Max Williams A/D |22|1|2||4 дня падения, 1 дня в
 0,00 GMKN|96|49|Max Williams A/D |22|1|3||4 дня падения, 1 дня в
 0,00 GMKN|96|107|Max Williams A/D |23|1|1||3 дня падения, 1 дня в
 0,00 GMKN|96|49|Max Williams A/D |23|1|1||4 дня падения, 1 дня в
 0,00 GMKN|96|49|Max Williams A/D |23|1|2||4 дня падения, 1 дня в
 0,00 GMKN|96|49|Max Williams A/D |23|1|3||4 дня падения, 1 дня в
 0,00 GMKN|94|107|Max Williams A/D |24|1|1||3 дня падения, 1 дня в
 0,00 GMKN|94|49|Max Williams A/D |24|1|1||4 дня падения, 1 дня в
 0,00 GMKN|94|49|Max Williams A/D |24|1|2||4 дня падения, 1 дня в
 0,00 GMKN|94|49|Max Williams A/D |24|1|3||4 дня падения, 1 дня в
 0,00 GMKN|93|107|Max Williams A/D |25|1|1||3 дня падения, 1 дня в
 0,00 GMKN|93|49|Max Williams A/D |25|1|1||4 дня падения, 1 дня в
 0,00 GMKN|93|49|Max Williams A/D |25|1|2||4 дня падения, 1 дня в
 0,00 GMKN|93|49|Max Williams A/D |25|1|3||4 дня падения, 1 дня в
 0,00 GMKN|130|67|Min Williams A/D |11|1|1||3 дня роста, 1 дня в
 0,00 GMKN|129|67|Min Williams A/D |11|1|3||3 дня роста, 1 дня в
 0,00 GMKN|127|67|Min Williams A/D |12|1|1||3 дня роста, 1 дня в
 0,00 GMKN|126|67|Min Williams A/D |12|1|3||3 дня роста, 1 дня в
 0,00 GMKN|122|67|Min Williams A/D |13|1|1||3 дня роста, 1 дня в
 0,00 GMKN|121|67|Min Williams A/D |13|1|3||3 дня роста, 1 дня в
 0,00 GMKN|119|67|Min Williams A/D |14|1|1||3 дня роста, 1 дня в
 0,00 GMKN|118|67|Min Williams A/D |14|1|3||3 дня роста, 1 дня в
 0,00 GMKN|118|67|Min Williams A/D |15|1|1||3 дня роста, 1 дня в
 0,00 GMKN|117|67|Min Williams A/D |15|1|3||3 дня роста, 1 дня в
 0,00 GMKN|118|67|Min Williams A/D |16|1|1||3 дня роста, 1 дня в
 0,00 GMKN|117|67|Min Williams A/D |16|1|3||3 дня роста, 1 дня в
 0,00 GMKN|115|67|Min Williams A/D |17|1|1||3 дня роста, 1 дня в
 0,00 GMKN|114|67|Min Williams A/D |17|1|3||3 дня роста, 1 дня в
 0,00 GMKN|112|67|Min Williams A/D |18|1|1||3 дня роста, 1 дня в
 0,00 GMKN|111|67|Min Williams A/D |18|1|3||3 дня роста, 1 дня в
 0,00 GMKN|111|67|Min Williams A/D |19|1|1||3 дня роста, 1 дня в
 0,00 GMKN|110|67|Min Williams A/D |19|1|3||3 дня роста, 1 дня в
 0,00 GMKN|105|67|Min Williams A/D |20|1|1||3 дня роста, 1 дня в
 0,00 GMKN|104|67|Min Williams A/D |20|1|3||3 дня роста, 1 дня в
 0,00 GMKN|104|67|Min Williams A/D |21|1|1||3 дня роста, 1 дня в
 0,00 GMKN|103|67|Min Williams A/D |21|1|3||3 дня роста, 1 дня в
 0,00 GMKN|102|67|Min Williams A/D |22|1|1||3 дня роста, 1 дня в
 0,00 GMKN|101|67|Min Williams A/D |22|1|3||3 дня роста, 1 дня в
 0,00 GMKN|98|67|Min Williams A/D |23|1|1||3 дня роста, 1 дня в
 0,00 GMKN|97|67|Min Williams A/D |23|1|3||3 дня роста, 1 дня в
 0,00 GMKN|93|67|Min Williams A/D |24|1|1||3 дня роста, 1 дня в
 0,00 GMKN|92|67|Min Williams A/D |24|1|3||3 дня роста, 1 дня в
 0,00 GMKN|91|67|Min Williams A/D |25|1|1||3 дня роста, 1 дня в
 0,00 GMKN|90|67|Min Williams A/D |25|1|3||3 дня роста, 1 дня в
 0,00 LKOH|115|58|Max Williams A/D |20|1|3||4 дня падения, 1 дня в
 0,00 LKOH|111|58|Max Williams A/D |21|1|3||4 дня падения, 1 дня в
 0,00 LKOH|108|58|Max Williams A/D |22|1|3||4 дня падения, 1 дня в
 0,00 LKOH|104|58|Max Williams A/D |23|1|3||4 дня падения, 1 дня в
 0,00 LKOH|100|58|Max Williams A/D |24|1|3||4 дня падения, 1 дня в
 0,00 LKOH|99|58|Max Williams A/D |25|1|3||4 дня падения, 1 дня в
 0,00 LKOH|167|111|Min Williams A/D | 7|1|1||3 дня роста, 1 дня в
 0,00 LKOH|153|111|Min Williams A/D | 8|1|1||3 дня роста, 1 дня в
 0,00 LKOH|143|111|Min Williams A/D | 9|1|1||3 дня роста, 1 дня в
 0,00 LKOH|134|111|Min Williams A/D |10|1|1||3 дня роста, 1 дня в
 0,00 LKOH|124|111|Min Williams A/D |11|1|1||3 дня роста, 1 дня в
 0,00 LKOH|116|111|Min Williams A/D |12|1|1||3 дня роста, 1 дня в
 0,00 LKOH|111|111|Min Williams A/D |13|1|1||3 дня роста, 1 дня в
 0,00 LKOH|106|111|Min Williams A/D |14|1|1||3 дня роста, 1 дня в
 0,00 LKOH|104|52|Min Williams A/D |14|1|3||4 дня роста, 1 дня в
 0,00 LKOH|100|111|Min Williams A/D |15|1|1||3 дня роста, 1 дня в
 0,00 LKOH|100|52|Min Williams A/D |15|1|1||4 дня роста, 1 дня в
 0,00 LKOH|99|52|Min Williams A/D |15|1|2||4 дня роста, 1 дня в
 0,00 LKOH|98|52|Min Williams A/D |15|1|3||4 дня роста, 1 дня в
 0,00 LKOH|94|111|Min Williams A/D |16|1|1||3 дня роста, 1 дня в
 0,00 LKOH|94|52|Min Williams A/D |16|1|1||4 дня роста, 1 дня в
 0,00 LKOH|93|52|Min Williams A/D |16|1|2||4 дня роста, 1 дня в
 0,00 LKOH|92|52|Min Williams A/D |16|1|3||4 дня роста, 1 дня в
 0,00 LKOH|90|111|Min Williams A/D |17|1|1||3 дня роста, 1 дня в
 0,00 LKOH|90|52|Min Williams A/D |17|1|1||4 дня роста, 1 дня в
 0,00 LKOH|89|52|Min Williams A/D |17|1|2||4 дня роста, 1 дня в
 0,00 LKOH|88|52|Min Williams A/D |17|1|3||4 дня роста, 1 дня в
 0,00 LKOH|86|111|Min Williams A/D |18|1|1||3 дня роста, 1 дня в
 0,00 LKOH|86|52|Min Williams A/D |18|1|1||4 дня роста, 1 дня в
 0,00 LKOH|85|52|Min Williams A/D |18|1|2||4 дня роста, 1 дня в
 0,00 LKOH|84|52|Min Williams A/D |18|1|3||4 дня роста, 1 дня в
 0,00 LKOH|79|111|Min Williams A/D |19|1|1||3 дня роста, 1 дня в
 0,00 LKOH|79|52|Min Williams A/D |19|1|1||4 дня роста, 1 дня в
 0,00 LKOH|78|52|Min Williams A/D |19|1|2||4 дня роста, 1 дня в
 0,00 LKOH|77|52|Min Williams A/D |19|1|3||4 дня роста, 1 дня в
 0,00 LKOH|75|111|Min Williams A/D |20|1|1||3 дня роста, 1 дня в
 0,00 LKOH|75|52|Min Williams A/D |20|1|1||4 дня роста, 1 дня в
 0,00 LKOH|74|52|Min Williams A/D |20|1|2||4 дня роста, 1 дня в
 0,00 LKOH|73|52|Min Williams A/D |20|1|3||4 дня роста, 1 дня в
 0,00 LKOH|71|111|Min Williams A/D |21|1|1||3 дня роста, 1 дня в
 0,00 LKOH|71|52|Min Williams A/D |21|1|1||4 дня роста, 1 дня в
 0,00 LKOH|70|52|Min Williams A/D |21|1|2||4 дня роста, 1 дня в
 0,00 LKOH|69|52|Min Williams A/D |21|1|3||4 дня роста, 1 дня в
 0,00 LKOH|66|111|Min Williams A/D |22|1|1||3 дня роста, 1 дня в
 0,00 LKOH|66|52|Min Williams A/D |22|1|1||4 дня роста, 1 дня в
 0,00 LKOH|65|52|Min Williams A/D |22|1|2||4 дня роста, 1 дня в
 0,00 LKOH|64|52|Min Williams A/D |22|1|3||4 дня роста, 1 дня в
 0,00 LKOH|64|111|Min Williams A/D |23|1|1||3 дня роста, 1 дня в
 0,00 LKOH|64|52|Min Williams A/D |23|1|1||4 дня роста, 1 дня в
 0,00 LKOH|63|52|Min Williams A/D |23|1|2||4 дня роста, 1 дня в
 0,00 LKOH|62|52|Min Williams A/D |23|1|3||4 дня роста, 1 дня в
 0,00 LKOH|62|111|Min Williams A/D |24|1|1||3 дня роста, 1 дня в
 0,00 LKOH|62|52|Min Williams A/D |24|1|1||4 дня роста, 1 дня в
 0,00 LKOH|61|52|Min Williams A/D |24|1|2||4 дня роста, 1 дня в
 0,00 LKOH|60|52|Min Williams A/D |24|1|3||4 дня роста, 1 дня в
 0,00 LKOH|59|111|Min Williams A/D |25|1|1||3 дня роста, 1 дня в
 0,00 LKOH|59|52|Min Williams A/D |25|1|1||4 дня роста, 1 дня в
 0,00 LKOH|58|52|Min Williams A/D |25|1|2||4 дня роста, 1 дня в
 0,00 LKOH|57|52|Min Williams A/D |25|1|3||4 дня роста, 1 дня в
 0,00 NVTK|98|96|Max Williams A/D |25|1|1||3 дня падения, 1 дня в
 0,00 NVTK|205|107|Min Williams A/D | 5|1|3||3 дня роста, 1 дня в
 0,00 NVTK|184|107|Min Williams A/D | 6|1|1||3 дня роста, 1 дня в
 0,00 NVTK|184|107|Min Williams A/D | 6|1|3||3 дня роста, 1 дня в
 0,00 NVTK|175|107|Min Williams A/D | 7|1|1||3 дня роста, 1 дня в
 0,00 NVTK|175|107|Min Williams A/D | 7|1|3||3 дня роста, 1 дня в
 0,00 NVTK|148|107|Min Williams A/D | 8|1|1||3 дня роста, 1 дня в
 0,00 NVTK|148|107|Min Williams A/D | 8|1|3||3 дня роста, 1 дня в
 0,00 NVTK|136|107|Min Williams A/D | 9|1|1||3 дня роста, 1 дня в
 0,00 NVTK|136|107|Min Williams A/D | 9|1|3||3 дня роста, 1 дня в
 0,00 NVTK|122|107|Min Williams A/D |10|1|1||3 дня роста, 1 дня в
 0,00 NVTK|122|107|Min Williams A/D |10|1|3||3 дня роста, 1 дня в
 0,00 NVTK|116|107|Min Williams A/D |11|1|1||3 дня роста, 1 дня в
 0,00 NVTK|116|107|Min Williams A/D |11|1|3||3 дня роста, 1 дня в
 0,00 NVTK|105|107|Min Williams A/D |12|1|1||3 дня роста, 1 дня в
 0,00 NVTK|105|107|Min Williams A/D |12|1|3||3 дня роста, 1 дня в
 0,00 NVTK|100|107|Min Williams A/D |13|1|1||3 дня роста, 1 дня в
 0,00 NVTK|100|107|Min Williams A/D |13|1|3||3 дня роста, 1 дня в
 0,00 NVTK|94|107|Min Williams A/D |14|1|1||3 дня роста, 1 дня в
 0,00 NVTK|94|48|Min Williams A/D |14|1|1||4 дня роста, 1 дня в
 0,00 NVTK|94|48|Min Williams A/D |14|1|2||4 дня роста, 1 дня в
 0,00 NVTK|94|107|Min Williams A/D |14|1|3||3 дня роста, 1 дня в
 0,00 NVTK|94|48|Min Williams A/D |14|1|3||4 дня роста, 1 дня в
 0,00 NVTK|92|107|Min Williams A/D |15|1|1||3 дня роста, 1 дня в
 0,00 NVTK|92|48|Min Williams A/D |15|1|1||4 дня роста, 1 дня в
 0,00 NVTK|92|48|Min Williams A/D |15|1|2||4 дня роста, 1 дня в
 0,00 NVTK|92|107|Min Williams A/D |15|1|3||3 дня роста, 1 дня в
 0,00 NVTK|92|48|Min Williams A/D |15|1|3||4 дня роста, 1 дня в
 0,00 NVTK|87|107|Min Williams A/D |16|1|1||3 дня роста, 1 дня в
 0,00 NVTK|87|48|Min Williams A/D |16|1|1||4 дня роста, 1 дня в
 0,00 NVTK|87|48|Min Williams A/D |16|1|2||4 дня роста, 1 дня в
 0,00 NVTK|87|107|Min Williams A/D |16|1|3||3 дня роста, 1 дня в
 0,00 NVTK|87|48|Min Williams A/D |16|1|3||4 дня роста, 1 дня в
 0,00 NVTK|86|107|Min Williams A/D |17|1|1||3 дня роста, 1 дня в
 0,00 NVTK|86|48|Min Williams A/D |17|1|1||4 дня роста, 1 дня в
 0,00 NVTK|86|48|Min Williams A/D |17|1|2||4 дня роста, 1 дня в
 0,00 NVTK|86|107|Min Williams A/D |17|1|3||3 дня роста, 1 дня в
 0,00 NVTK|86|48|Min Williams A/D |17|1|3||4 дня роста, 1 дня в
 0,00 NVTK|81|107|Min Williams A/D |18|1|1||3 дня роста, 1 дня в
 0,00 NVTK|81|48|Min Williams A/D |18|1|1||4 дня роста, 1 дня в
 0,00 NVTK|81|48|Min Williams A/D |18|1|2||4 дня роста, 1 дня в
 0,00 NVTK|81|107|Min Williams A/D |18|1|3||3 дня роста, 1 дня в
 0,00 NVTK|81|48|Min Williams A/D |18|1|3||4 дня роста, 1 дня в
 0,00 NVTK|77|107|Min Williams A/D |19|1|1||3 дня роста, 1 дня в
 0,00 NVTK|77|48|Min Williams A/D |19|1|1||4 дня роста, 1 дня в
 0,00 NVTK|77|48|Min Williams A/D |19|1|2||4 дня роста, 1 дня в
 0,00 NVTK|77|107|Min Williams A/D |19|1|3||3 дня роста, 1 дня в
 0,00 NVTK|77|48|Min Williams A/D |19|1|3||4 дня роста, 1 дня в
 0,00 NVTK|74|107|Min Williams A/D |20|1|1||3 дня роста, 1 дня в
 0,00 NVTK|74|48|Min Williams A/D |20|1|1||4 дня роста, 1 дня в
 0,00 NVTK|74|48|Min Williams A/D |20|1|2||4 дня роста, 1 дня в
 0,00 NVTK|74|107|Min Williams A/D |20|1|3||3 дня роста, 1 дня в
 0,00 NVTK|74|48|Min Williams A/D |20|1|3||4 дня роста, 1 дня в
 0,00 NVTK|72|107|Min Williams A/D |21|1|1||3 дня роста, 1 дня в
 0,00 NVTK|72|48|Min Williams A/D |21|1|1||4 дня роста, 1 дня в
 0,00 NVTK|72|48|Min Williams A/D |21|1|2||4 дня роста, 1 дня в
 0,00 NVTK|72|107|Min Williams A/D |21|1|3||3 дня роста, 1 дня в
 0,00 NVTK|72|48|Min Williams A/D |21|1|3||4 дня роста, 1 дня в
 0,00 NVTK|69|107|Min Williams A/D |22|1|1||3 дня роста, 1 дня в
 0,00 NVTK|69|48|Min Williams A/D |22|1|1||4 дня роста, 1 дня в
 0,00 NVTK|69|48|Min Williams A/D |22|1|2||4 дня роста, 1 дня в
 0,00 NVTK|69|107|Min Williams A/D |22|1|3||3 дня роста, 1 дня в
 0,00 NVTK|69|48|Min Williams A/D |22|1|3||4 дня роста, 1 дня в
 0,00 NVTK|66|107|Min Williams A/D |23|1|1||3 дня роста, 1 дня в
 0,00 NVTK|66|48|Min Williams A/D |23|1|1||4 дня роста, 1 дня в
 0,00 NVTK|66|48|Min Williams A/D |23|1|2||4 дня роста, 1 дня в
 0,00 NVTK|66|107|Min Williams A/D |23|1|3||3 дня роста, 1 дня в
 0,00 NVTK|66|48|Min Williams A/D |23|1|3||4 дня роста, 1 дня в
 0,00 NVTK|63|107|Min Williams A/D |24|1|1||3 дня роста, 1 дня в
 0,00 NVTK|63|48|Min Williams A/D |24|1|1||4 дня роста, 1 дня в
 0,00 NVTK|63|48|Min Williams A/D |24|1|2||4 дня роста, 1 дня в
 0,00 NVTK|63|107|Min Williams A/D |24|1|3||3 дня роста, 1 дня в
 0,00 NVTK|63|48|Min Williams A/D |24|1|3||4 дня роста, 1 дня в
 0,00 NVTK|61|107|Min Williams A/D |25|1|1||3 дня роста, 1 дня в
 0,00 NVTK|61|48|Min Williams A/D |25|1|1||4 дня роста, 1 дня в
 0,00 NVTK|61|48|Min Williams A/D |25|1|2||4 дня роста, 1 дня в
 0,00 NVTK|61|107|Min Williams A/D |25|1|3||3 дня роста, 1 дня в
 0,00 NVTK|61|48|Min Williams A/D |25|1|3||4 дня роста, 1 дня в
 0,00 ROSN|200|105|Max Williams A/D | 6|1|1||3 дня падения, 1 дня в
 0,00 ROSN|176|105|Max Williams A/D | 7|1|1||3 дня падения, 1 дня в
 0,00 ROSN|158|105|Max Williams A/D | 8|1|1||3 дня падения, 1 дня в
 0,00 ROSN|146|105|Max Williams A/D | 9|1|1||3 дня падения, 1 дня в
